Extraction Date:,8/30/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State Name,SEA Education Environment,SEA Disability Category,Age 3,Age 4,Age 5 (Early Childhood),American Indian or Alaska Native - Early Childhood,Asian - Early Childhood,Black or African American - Early Childhood,Hispanic/Latino - Early Childhood,Native Hawaiian or Other Pacific Islander - Early Childhood,Two or More Races - Early Childhood,White - Early Childhood,Female - Early Childhood,Male - Early Childhood,EL Yes - Early Childhood,EL No - Early Childhood,Age 3 to 5 (Early Childhood), Age 5 (School Age),Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 5 (School Age)-11,Age 6-11,Age 12-17,Age 18-21,Age 5 (School Age)-21,Ages 6-21,EL Yes - School Age,EL No - School Age,Female - School Age,Male - School Age,American Indian or Alaska Native - School Age,Asian - School Age,Black or African American - School Age,Hispanic/Latino - School Age,Native Hawaiian or Other Pacific Islander - School Age,Two or more races - School Age,White - School Age
2022,Alabama,Correctional Facilities,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,2,0,3,2,2,2,4,8,3,0,0,9,17,26,26,0,26,2,24,0,0,21,1,0,0,4
2022,Alabama,Home,All Disabilities,52,60,6,1,1,21,11,0,3,81,33,85,0,118,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Homebound/Hospital,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,9,19,20,26,27,23,21,41,44,39,43,44,31,16,7,3,130,124,232,57,419,413,10,409,151,268,1,9,165,26,0,10,208
2022,Alabama,Inside regular class 40% through 79% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,253,421,487,555,587,593,584,544,540,481,351,340,274,211,76,35,4,3480,3227,2530,326,6336,6083,304,6032,2004,4332,33,79,2497,502,5,235,2985
2022,Alabama,Inside regular class 80% or more of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2818,4794,5771,6428,6722,6883,6669,6480,6451,6422,6083,5480,4731,2557,380,50,4,40085,37267,35647,2991,78723,75905,3815,74908,27634,51089,567,484,26555,6287,62,2530,42238
2022,Alabama,Inside regular class less than 40% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,389,552,609,609,551,573,555,558,523,542,548,507,477,395,246,156,27,3838,3449,3155,824,7817,7428,347,7470,2448,5369,38,110,3151,749,16,235,3518
2022,Alabama,Parentally Placed in Private Schools,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,77,84,59,34,13,12,3,3,4,2,3,1,1,0,1,0,341,279,16,2,359,297,0,359,119,240,1,9,47,11,0,4,287
2022,Alabama,"Residential Facility, Early Childhood",All Disabilities,2,4,1,0,0,3,1,0,0,3,4,3,0,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,"Residential Facility, School Age",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,10,7,7,9,14,13,26,50,39,65,55,62,37,15,17,6,68,60,297,75,440,432,19,421,178,262,3,6,173,30,2,18,208
2022,Alabama,Separate Class,All Disabilities,80,88,26,1,2,45,29,2,15,100,49,145,0,194,194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,"Separate School, Early Childhood",All Disabilities,18,22,4,0,0,13,3,0,2,26,22,22,0,44,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,"Separate School, School Age",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,39,59,59,57,83,89,70,81,110,109,75,81,90,43,45,12,416,386,526,190,1132,1102,17,1115,365,767,4,9,402,70,3,34,610
2022,Alabama,Service Provider Location,All Disabilities,280,211,38,1,7,112,53,0,17,339,168,361,0,529,529,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),All Disabilities,277,646,146,3,16,274,40,0,40,696,282,787,0,1069,1069,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),All Disabilities,26,69,17,1,0,36,9,0,3,63,33,79,0,112,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),All Disabilities,600,1248,343,8,26,708,137,1,83,1228,623,1568,0,2191,2191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),All Disabilities,180,182,43,0,7,100,62,0,21,215,116,289,0,405,405,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,"Total, Early Childhood",All Disabilities,1515,2530,624,15,59,1312,345,3,184,2751,1330,3339,0,4669,4669,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,"Total, School Age",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3566,5902,7036,7737,7986,8186,7945,7702,7691,7642,7200,6505,5672,3324,780,319,59,48358,44792,42412,4482,95252,91686,4512,90740,32901,62351,647,706,33011,7676,88,3066,50058
2022,Alabama,Correctional Facilities,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Home,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Homebound/Hospital,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,27,8,51,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Inside regular class 40% through 79% of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,844,-,444,69,1357,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Inside regular class 80% or more of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2983,-,2646,230,5859,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Inside regular class less than 40% of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1516,-,927,214,2657,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Parentally Placed in Private Schools,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,2,0,14,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,"Residential Facility, Early Childhood",Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,"Residential Facility, School Age",Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,19,12,36,-,-,-,-,-,-,-,-,-,-,-,-
2022,Alabama,Separate Class,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
